Participant,Session,Radius_pre,Radius_post,Metric_pre,Metric_post,Correlation,p_value,Network
P1,S1,30,50,Salience,Salience,0.4961484823020914,0.0020876941511982607,SalVentAttn
P1,S1,30,50,Salience,Entrainment,0.20686663849443185,0.22607066918685853,SalVentAttn
P1,S1,30,50,Salience,Fluidity,0.0006671813924870647,0.9969187315821489,SalVentAttn
P1,S1,30,50,Salience,Complexity,-0.31217810876152424,0.06379741125161109,SalVentAttn
P1,S1,30,50,Entrainment,ZCR,0.015642349047113965,0.927852361441037,SalVentAttn
P1,S1,30,50,Entrainment,Salience,0.09854521807978014,0.5674581178135698,SalVentAttn
P1,S1,30,50,Entrainment,Entrainment,0.14481721426473204,0.3993998801119,SalVentAttn
P1,S1,30,50,Entrainment,Fluidity,0.10615966099935858,0.5377467407708594,SalVentAttn
P1,S1,30,50,Entrainment,Complexity,-0.22632856100836973,0.18439413487593725,SalVentAttn
P1,S1,30,50,Fluidity,ZCR,-0.19217999542140707,0.26148336161173863,SalVentAttn
P1,S1,30,50,Fluidity,Salience,0.02397680590386929,0.8896054092591478,SalVentAttn
P1,S1,30,50,Fluidity,Entrainment,-0.20362794482103652,0.23358325471095825,SalVentAttn
P1,S1,30,50,Fluidity,Fluidity,-0.0023644280434632348,0.9890805744643352,SalVentAttn
P1,S1,30,50,Fluidity,Complexity,0.11418488170069757,0.5072635263899828,SalVentAttn
P1,S1,30,50,Complexity,ZCR,0.08007235179296654,0.6424862698636109,SalVentAttn
P1,S1,30,50,Complexity,Salience,-0.2656903183015344,0.11730629393778838,SalVentAttn
P1,S1,30,50,Complexity,Entrainment,-0.1817933449363138,0.28862674027681495,SalVentAttn
P1,S1,30,50,Complexity,Fluidity,0.0958479443906868,0.5781597709287517,SalVentAttn
P1,S1,30,50,Complexity,Complexity,0.1917431973573031,0.26258966846339005,SalVentAttn
P1,S1,30,100,ZCR,ZCR,0.17916498287209964,0.2957727743587998,SalVentAttn
P1,S1,30,100,ZCR,Salience,-0.31692885160749856,0.05965445072128312,SalVentAttn
P1,S1,30,100,ZCR,Entrainment,-0.23498384430191013,0.1677249422707981,SalVentAttn
P1,S1,30,100,ZCR,Fluidity,-0.4242054344028106,0.009924200100237018,SalVentAttn
P1,S1,30,100,ZCR,Complexity,0.3056362058380975,0.06986999948271481,SalVentAttn
P1,S1,30,100,Salience,ZCR,-0.32030642272209836,0.05684083358048128,SalVentAttn
P1,S1,30,100,Salience,Salience,0.4708788161813511,0.0037496229437572904,SalVentAttn
P1,S1,30,100,Salience,Entrainment,0.29950994163515576,0.07595896718202733,SalVentAttn
P1,S1,30,100,Salience,Fluidity,0.399231286570764,0.015860738264256425,SalVentAttn
P1,S1,30,100,Salience,Complexity,-0.3878171412309812,0.01943493981609064,SalVentAttn
P1,S1,30,100,Entrainment,ZCR,-0.026875870169128104,0.8763544926801884,SalVentAttn
P1,S1,30,100,Entrainment,Salience,0.08455718677552654,0.6239090375188528,SalVentAttn
P1,S1,30,100,Entrainment,Entrainment,0.24522280401740498,0.14943573304790264,SalVentAttn
P1,S1,30,100,Entrainment,Fluidity,0.3612342992907728,0.03041827563266931,SalVentAttn
P1,S1,30,100,Entrainment,Complexity,-0.2949611506107846,0.08074158549304966,SalVentAttn
P1,S1,30,100,Fluidity,ZCR,-0.04817475116864983,0.7802375758433608,SalVentAttn
P1,S1,30,100,Fluidity,Salience,0.013303794105004638,0.9386164031172004,SalVentAttn
P1,S1,30,100,Fluidity,Entrainment,-0.10277291253495369,0.5508692095487046,SalVentAttn
P1,S1,30,100,Fluidity,Fluidity,0.19011803292937898,0.266732905702444,SalVentAttn
P1,S1,30,100,Fluidity,Complexity,0.00659256273528655,0.9695603083061272,SalVentAttn
